seed,model,r2_set_repr_mean,r2_z_mean,r2_set_repr_pf,r2_z_pf,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
45,MeanPoolLinear_NLL,0.6846989393234253,0.6846989393234253,"[0.7676804065704346, 0.8913726210594177, 0.6229935884475708, 0.4144895076751709, 0.37114429473876953, 0.3854799270629883, 0.831791341304779, 0.8604040145874023, 0.7227491140365601, 0.9788844585418701]","[0.7676804661750793, 0.8913726210594177, 0.6229935884475708, 0.4144894480705261, 0.37114429473876953, 0.3854799270629883, 0.8317914009094238, 0.8604040741920471, 0.7227491140365601, 0.9788844585418701]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
45,MeanPoolMLP_NLL,0.6846988797187805,0.7931574583053589,"[0.7676804661750793, 0.8913726210594177, 0.6229935884475708, 0.4144894480705261, 0.37114429473876953, 0.3854798674583435, 0.8317912817001343, 0.8604040145874023, 0.7227491140365601, 0.9788844585418701]","[0.892676591873169, 0.9448387026786804, 0.8046647310256958, 0.5937526226043701, 0.578978419303894, 0.5193959474563599, 0.9158654808998108, 0.9022407531738281, 0.7814683318138123, 0.9976926445960999]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed45,meanpool,MeanPoolMLP,nll,NLL
45,FlatMLP_NLL,0.755971372127533,0.9008394479751587,"[0.8495585918426514, 0.9348060488700867, 0.705864429473877, 0.5192522406578064, 0.49250781536102295, 0.4958385229110718, 0.8889951705932617, 0.8678894639015198, 0.8257911205291748, 0.979210376739502]","[0.9614911079406738, 0.9766591787338257, 0.9130287766456604, 0.788249671459198, 0.8129914999008179, 0.7494865655899048, 0.9767820239067078, 0.9181742072105408, 0.9137999415397644, 0.997731626033783]",FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL
45,DeepSets_NLL,0.7849218249320984,0.7852083444595337,"[0.9170405864715576, 0.9556170105934143, 0.8292770981788635, 0.5829274654388428, 0.5212188959121704, 0.39264464378356934, 0.9513602256774902, 0.8930835127830505, 0.8091812133789062, 0.9968677163124084]","[0.9288702011108398, 0.9615868330001831, 0.8373585343360901, 0.5921857953071594, 0.5124290585517883, 0.3622870445251465, 0.9621912837028503, 0.8932547569274902, 0.8047049045562744, 0.9972153902053833]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL
45,FactorQuery_NLL,0.7926843762397766,0.6995022892951965,"[0.9145469665527344, 0.9533762335777283, 0.7362254858016968, 0.5764245390892029, 0.540553092956543, 0.5309100151062012, 0.940776526927948, 0.894057035446167, 0.843388020992279, 0.9965854287147522]","[0.8221700191497803, 0.9226868748664856, 0.642717719078064, 0.41293489933013916, 0.39939385652542114, 0.36217737197875977, 0.8934943079948425, 0.8108965754508972, 0.7424749135971069, 0.9860759973526001]",FactorQuery_NLL,FactorQuery_NLL_seed45,factorquery,FactorQuery,nll,NLL
45,MeanPoolLinear_RESVAR,0.6846989393234253,0.6846988797187805,"[0.7676804661750793, 0.891372561454773, 0.6229935884475708, 0.4144894480705261, 0.37114429473876953, 0.38547998666763306, 0.831791341304779, 0.8604040145874023, 0.7227491140365601, 0.9788844585418701]","[0.7676804661750793, 0.891372561454773, 0.6229935884475708, 0.4144895076751709, 0.37114429473876953, 0.3854796886444092, 0.8317912817001343, 0.8604040741920471, 0.7227490544319153, 0.9788844585418701]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed45,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
45,MeanPoolMLP_RESVAR,0.6846988797187805,0.8030104637145996,"[0.7676804065704346, 0.891372561454773, 0.6229935884475708, 0.4144894480705261, 0.37114429473876953, 0.3854794502258301, 0.8317912817001343, 0.8604040741920471, 0.7227491140365601, 0.9788844585418701]","[0.8981733322143555, 0.9477381110191345, 0.8242858648300171, 0.6230416297912598, 0.6026283502578735, 0.5255928635597229, 0.9251362085342407, 0.895880937576294, 0.7899543046951294, 0.9976730346679688]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
45,FlatMLP_RESVAR,0.755971372127533,0.9108414649963379,"[0.8495585918426514, 0.9348059892654419, 0.7058643102645874, 0.5192521810531616, 0.49250781536102295, 0.4958387017250061, 0.8889952301979065, 0.867889404296875, 0.8257911205291748, 0.979210376739502]","[0.9622385501861572, 0.979106068611145, 0.9244668483734131, 0.823004961013794, 0.837183952331543, 0.7773382663726807, 0.9761003851890564, 0.9152968525886536, 0.9158910512924194, 0.9977877140045166]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed45,flatmlp,FlatMLP,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,0.8232987523078918,0.8320571780204773,"[0.9189623594284058, 0.9591503739356995, 0.8326984643936157, 0.6533099412918091, 0.6118842363357544, 0.5305438041687012, 0.9519476294517517, 0.9005041122436523, 0.8771286010742188, 0.9968575239181519]","[0.9329972863197327, 0.9599405527114868, 0.8441662788391113, 0.6619738340377808, 0.639435350894928, 0.5431747436523438, 0.9575982689857483, 0.9014155268669128, 0.8821992874145508, 0.9976710081100464]",DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,FactorQuery_RESVAR,0.8039329648017883,0.0024433135986328125,"[0.9100468158721924, 0.9444541931152344, 0.7852808237075806, 0.5894935131072998, 0.558563232421875, 0.5713527202606201, 0.9305835366249084, 0.8888287544250488, 0.8660770654678345, 0.9946491718292236]","[0.007761240005493164, 5.91278076171875e-05, -0.0011713504791259766, 0.0019088983535766602, 0.0003643631935119629, 0.00237119197845459, 0.0019324421882629395, 0.0014928579330444336, 0.0031432509422302246, 0.0065711140632629395]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed45,factorquery,FactorQuery,residual_variance_reg,RESVAR
46,MeanPoolLinear_NLL,0.6846953630447388,0.6846953630447388,"[0.767697811126709, 0.8913732767105103, 0.623026967048645, 0.41443997621536255, 0.37107330560684204, 0.385445237159729, 0.8318014144897461, 0.8604235649108887, 0.7227881550788879, 0.9788839221000671]","[0.7676978707313538, 0.8913732171058655, 0.623026967048645, 0.41443997621536255, 0.3710733652114868, 0.3854452967643738, 0.8318013548851013, 0.8604235649108887, 0.7227882146835327, 0.9788839221000671]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed46,meanpool_linear,MeanPoolLinear,nll,NLL
46,MeanPoolMLP_NLL,0.6846953630447388,0.7911815047264099,"[0.7676978707313538, 0.8913732171058655, 0.623026967048645, 0.41443997621536255, 0.37107330560684204, 0.38544541597366333, 0.8318013548851013, 0.8604235649108887, 0.7227881550788879, 0.9788839221000671]","[0.8921170830726624, 0.9430018067359924, 0.7977598905563354, 0.6102445125579834, 0.5602611303329468, 0.4957985281944275, 0.924896240234375, 0.9105773568153381, 0.7801293730735779, 0.997029185295105]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
46,FlatMLP_NLL,0.7559887170791626,0.9068624377250671,"[0.8496034145355225, 0.9348180890083313, 0.7060309648513794, 0.5191978216171265, 0.4925333261489868, 0.49571681022644043, 0.8890842199325562, 0.8678712844848633, 0.825818657875061, 0.9792129397392273]","[0.9618921279907227, 0.9776672124862671, 0.9199027419090271, 0.8088983297348022, 0.8150237798690796, 0.7685415148735046, 0.9771276712417603, 0.9236318469047546, 0.9182547926902771, 0.997684895992279]",FlatMLP_NLL,FlatMLP_NLL_seed46,flatmlp,FlatMLP,nll,NLL
46,DeepSets_NLL,0.7448862791061401,0.7312266826629639,"[0.9146947860717773, 0.9570249915122986, 0.8202337026596069, 0.6054624319076538, 0.4536336064338684, 0.457122266292572, 0.9536345601081848, 0.896411120891571, 0.3931254744529724, 0.9975196719169617]","[0.936245322227478, 0.9628238677978516, 0.8342304229736328, 0.63152015209198, 0.4584731459617615, 0.4646846055984497, 0.9638622999191284, 0.900307834148407, 0.16283035278320312, 0.9972893595695496]",DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
46,FactorQuery_NLL,0.8031595349311829,0.7257768511772156,"[0.9059348106384277, 0.9558239579200745, 0.7843999266624451, 0.5796507596969604, 0.5410093069076538, 0.5587638020515442, 0.9407250285148621, 0.8945810198783875, 0.87504643201828, 0.9956599473953247]","[0.8115285634994507, 0.9066352248191833, 0.7130826115608215, 0.5017821788787842, 0.41442424058914185, 0.4055229425430298, 0.8884299397468567, 0.8230918645858765, 0.8129905462265015, 0.9802806377410889]",FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
46,MeanPoolLinear_RESVAR,0.6846953630447388,0.6846953630447388,"[0.7676978707313538, 0.8913732767105103, 0.623026967048645, 0.41443997621536255, 0.37107330560684204, 0.3854452967643738, 0.8318013548851013, 0.8604235649108887, 0.7227882146835327, 0.9788839221000671]","[0.7676978707313538, 0.8913732171058655, 0.6230270266532898, 0.41443997621536255, 0.37107330560684204, 0.3854452967643738, 0.8318014144897461, 0.8604235649108887, 0.7227882146835327, 0.9788839221000671]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
46,MeanPoolMLP_RESVAR,0.6846953630447388,0.7932626008987427,"[0.767697811126709, 0.8913732767105103, 0.623026967048645, 0.41443997621536255, 0.3710733652114868, 0.385445237159729, 0.8318013548851013, 0.8604235649108887, 0.7227881550788879, 0.9788839221000671]","[0.8916733264923096, 0.9432554244995117, 0.8057163953781128, 0.5906088352203369, 0.5555775165557861, 0.5298686027526855, 0.919692873954773, 0.9095902442932129, 0.7901350259780884, 0.9965077638626099]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed46,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
46,FlatMLP_RESVAR,0.7559887170791626,0.9122570753097534,"[0.8496034145355225, 0.9348180890083313, 0.7060309648513794, 0.519197940826416, 0.4925333261489868, 0.49571698904037476, 0.8890842795372009, 0.8678712844848633, 0.825818657875061, 0.9792129397392273]","[0.9601399302482605, 0.9782428741455078, 0.9268749952316284, 0.8245967626571655, 0.8388480544090271, 0.7859534025192261, 0.9741474390029907, 0.9239377379417419, 0.9120849370956421, 0.9977452158927917]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
46,DeepSets_RESVAR,0.8144289255142212,0.8234227895736694,"[0.9164965152740479, 0.9586799740791321, 0.8279197812080383, 0.6375603675842285, 0.5666584968566895, 0.5369060635566711, 0.9497759938240051, 0.8980008363723755, 0.8546494245529175, 0.9976416826248169]","[0.9319610595703125, 0.9600639343261719, 0.8400614261627197, 0.6416962146759033, 0.5960078239440918, 0.5416277647018433, 0.9573884010314941, 0.9009007811546326, 0.8670895099639893, 0.9974312782287598]",DeepSets_RESVAR,DeepSets_RESVAR_seed46,deepsets,DeepSets,residual_variance_reg,RESVAR
46,FactorQuery_RESVAR,0.784213662147522,0.002847570227459073,"[0.9200993776321411, 0.9552193284034729, 0.756766676902771, 0.523993194103241, 0.491538941860199, 0.5123967528343201, 0.9403068423271179, 0.901849627494812, 0.8461578488349915, 0.9938077926635742]","[0.003914475440979004, 0.00398409366607666, 0.0028838515281677246, 0.005744874477386475, -0.0006208419799804688, 0.0058792829513549805, 0.0013494491577148438, 0.003534853458404541, 6.496906280517578e-05, 0.0017406940460205078]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR
47,MeanPoolLinear_NLL,0.6846793293952942,0.6846793293952942,"[0.7676443457603455, 0.8913807272911072, 0.6230089664459229, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710188865661621, 0.385470449924469, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
47,MeanPoolMLP_NLL,0.6846792101860046,0.794409990310669,"[0.7676442861557007, 0.891380786895752, 0.6230088472366333, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.8877862691879272, 0.9455008506774902, 0.8216615319252014, 0.6070216298103333, 0.5729687213897705, 0.5025445222854614, 0.9235931634902954, 0.9003724455833435, 0.7854085564613342, 0.9972420334815979]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
47,FlatMLP_NLL,0.7559965252876282,0.9008147120475769,"[0.8496167063713074, 0.9348334074020386, 0.7060917019844055, 0.5194116830825806, 0.49232566356658936, 0.4958171248435974, 0.8890418410301208, 0.8678333163261414, 0.8257807493209839, 0.9792126417160034]","[0.9615989327430725, 0.9779846668243408, 0.9210667610168457, 0.7909463047981262, 0.7961513996124268, 0.745062530040741, 0.9781370162963867, 0.9252731800079346, 0.9142993092536926, 0.9976274371147156]",FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
47,DeepSets_NLL,0.7408674955368042,0.7218542695045471,"[0.9070417284965515, 0.9580723643302917, 0.8098892569541931, 0.5615484714508057, 0.512689471244812, 0.48574328422546387, 0.9418563842773438, 0.8896833658218384, 0.34493911266326904, 0.9972116351127625]","[0.9241520166397095, 0.9608842730522156, 0.8413225412368774, 0.5845584869384766, 0.5285457372665405, 0.4802759885787964, 0.9524838328361511, 0.8930952548980713, 0.055653274059295654, 0.9975710511207581]",DeepSets_NLL,DeepSets_NLL_seed47,deepsets,DeepSets,nll,NLL
47,FactorQuery_NLL,0.8142912983894348,0.7150757312774658,"[0.9146246910095215, 0.9474357962608337, 0.7990597486495972, 0.6039637923240662, 0.5870658159255981, 0.5764954090118408, 0.9414312243461609, 0.9032031297683716, 0.8826480507850647, 0.986985445022583]","[0.8164765238761902, 0.8973173499107361, 0.6743673086166382, 0.4386804699897766, 0.38214224576950073, 0.45505112409591675, 0.8972196578979492, 0.8454996347427368, 0.8288465142250061, 0.9151563048362732]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL
47,MeanPoolLinear_RESVAR,0.6846792101860046,0.6846792101860046,"[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710189461708069, 0.3854702115058899, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318131566047668, 0.8603938817977905, 0.7227672934532166, 0.9788825511932373]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed47,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
47,MeanPoolMLP_RESVAR,0.6846792101860046,0.7937699556350708,"[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.37101882696151733, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.8883347511291504, 0.9488394260406494, 0.8189305067062378, 0.5947957038879395, 0.5790050029754639, 0.5194690227508545, 0.9076911211013794, 0.9027177095413208, 0.7802416086196899, 0.9976748824119568]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed47,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
47,FlatMLP_RESVAR,0.7559965252876282,0.9100431203842163,"[0.8496166467666626, 0.9348334670066833, 0.7060917019844055, 0.5194116234779358, 0.49232566356658936, 0.49581724405288696, 0.8890418410301208, 0.8678333163261414, 0.8257807493209839, 0.9792126417160034]","[0.9626189470291138, 0.9791865944862366, 0.9261638522148132, 0.8208317160606384, 0.8413147330284119, 0.7753815054893494, 0.978544294834137, 0.9139829277992249, 0.9049110412597656, 0.997495710849762]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed47,flatmlp,FlatMLP,residual_variance_reg,RESVAR
47,DeepSets_RESVAR,0.8136521577835083,0.8123451471328735,"[0.9201921224594116, 0.9605822563171387, 0.8392578959465027, 0.6436507701873779, 0.6130177974700928, 0.5449288487434387, 0.9495912194252014, 0.9005183577537537, 0.767439603805542, 0.9973419308662415]","[0.9248272180557251, 0.9594348669052124, 0.8440855741500854, 0.667939305305481, 0.6179590225219727, 0.5343449711799622, 0.9420927166938782, 0.8859398365020752, 0.7500964999198914, 0.9967319965362549]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR
47,FactorQuery_RESVAR,0.8278366923332214,0.00031015873537398875,"[0.9138230085372925, 0.9481304883956909, 0.8066875338554382, 0.6364715695381165, 0.652558445930481, 0.6141469478607178, 0.9393652677536011, 0.9025535583496094, 0.8802911043167114, 0.9843389391899109]","[0.0006210803985595703, 0.00027489662170410156, -8.14199447631836e-05, 0.0003012418746948242, 7.545948028564453e-05, 0.0008373856544494629, -0.0002262592315673828, 0.00019186735153198242, 0.0006315708160400391, 0.00047576427459716797]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
